ID,experimental_replicate,concentration,growth
19,2,0,67.59
20,2,0,84.00
20,2,0,84.00
20,2,0,84.00
21,2,0,75.23
21,2,0,75.47
21,2,0,75.28
22,2,0,74.20
22,2,0,74.57
22,2,0,74.69
23,2,0,74.20
23,2,0,74.57
23,2,0,74.69
24,2,0,84.00
24,2,0,84.00
24,2,0,84.00
25,2,0,77.83
25,2,0,77.36
25,2,0,78.23
26,2,0,68.17
26,2,0,68.66
26,2,0,69.82
27,2,0,84.00
27,2,0,84.00
27,2,0,84.00
28,2,0,84.00
28,2,0,84.00
28,2,0,84.00
29,2,0,60.23
29,2,0,60.55
29,2,0,60.93
30,2,0,84.00
30,2,0,84.00
30,2,0,84.00
31,2,0,84.00
31,2,0,84.00
31,2,0,84.00
32,2,0,84.00
32,2,0,84.00
32,2,0,84.00
33,2,0,58.59
33,2,0,55.40
33,2,0,59.22
34,2,0,57.36
34,2,0,59.80
34,2,0,54.11
35,2,0,84.00
35,2,0,84.00
35,2,0,84.00
1,2,0.005,84.00
1,2,0.005,84.00
1,2,0.005,84.00
2,2,0.005,84.00
2,2,0.005,84.00
2,2,0.005,84.00
3,2,0.005,64.51
3,2,0.005,65.32
3,2,0.005,64.91
4,2,0.005,84.00
4,2,0.005,84.00
4,2,0.005,84.00
5,2,0.005,61.99
5,2,0.005,61.91
5,2,0.005,62.45
6,2,0.005,84.00
6,2,0.005,84.00
6,2,0.005,84.00
7,2,0.005,84.00
7,2,0.005,84.00
7,2,0.005,84.00
8,2,0.005,84.00
8,2,0.005,84.00
8,2,0.005,84.00
9,2,0.005,84.00
9,2,0.005,84.00
9,2,0.005,84.00
10,2,0.005,84.00
10,2,0.005,84.00
10,2,0.005,84.00
11,2,0.005,84.00
11,2,0.005,84.00
11,2,0.005,84.00
12,2,0.005,84.00
12,2,0.005,84.00
12,2,0.005,84.00
13,2,0.005,84.00
13,2,0.005,84.00
13,2,0.005,84.00
14,2,0.005,84
14,2,0.005,84
14,2,0.005,84
15,2,0.005,84.00
15,2,0.005,84.00
15,2,0.005,84.00
16,2,0.005,75.94
16,2,0.005,84.00
16,2,0.005,75.20
17,2,0.005,72.20
17,2,0.005,69.41
17,2,0.005,70.11
18,2,0.005,68.80
18,2,0.005,66.07
18,2,0.005,69.63
19,2,0.005,69.22
19,2,0.005,70.44
19,2,0.005,70.44
20,2,0.005,84.00
20,2,0.005,84.00
20,2,0.005,84.00
21,2,0.005,69.47
21,2,0.005,69.02
21,2,0.005,70.55
22,2,0.005,70.8
22,2,0.005,70.405
22,2,0.005,70.46
23,2,0.005,63.27
23,2,0.005,63.09
23,2,0.005,63.31
24,2,0.005,84.00
24,2,0.005,84.00
24,2,0.005,84.00
25,2,0.005,72.57
25,2,0.005,72.63
25,2,0.005,71.07
26,2,0.005,70.71
26,2,0.005,69.35
26,2,0.005,68.81
27,2,0.005,84.00
27,2,0.005,84.00
27,2,0.005,84.00
28,2,0.005,84.00
28,2,0.005,84.00
28,2,0.005,84.00
29,2,0.005,58.59
29,2,0.005,58.29
29,2,0.005,58.67
30,2,0.005,84
30,2,0.005,84
30,2,0.005,84
31,2,0.005,84.00
31,2,0.005,84.00
31,2,0.005,84.00
32,2,0.005,84.00
32,2,0.005,84.00
32,2,0.005,84.00
33,2,0.005,59.03
33,2,0.005,59.44
33,2,0.005,59.97
34,2,0.005,52.31
34,2,0.005,55.65
34,2,0.005,60.50
35,2,0.005,84.00
35,2,0.005,84.00
35,2,0.005,84.00
1,2,0.01,84.00
1,2,0.01,84.00
1,2,0.01,84.00
2,2,0.01,84.00
2,2,0.01,84.00
2,2,0.01,84.00
3,2,0.01,59.8
3,2,0.01,59.715
3,2,0.01,60.09
4,2,0.01,84.00
4,2,0.01,84.00
4,2,0.01,84.00
5,2,0.01,59.88
5,2,0.01,60.48
5,2,0.01,60.00
6,2,0.01,84.00
6,2,0.01,84.00
6,2,0.01,84.00
7,2,0.01,84
7,2,0.01,84
7,2,0.01,84
8,2,0.01,84
8,2,0.01,84
8,2,0.01,84
9,2,0.01,84
9,2,0.01,84
9,2,0.01,84
10,2,0.01,84
10,2,0.01,84
10,2,0.01,84
11,2,0.01,84
11,2,0.01,84
11,2,0.01,84
12,2,0.01,84
12,2,0.01,84
12,2,0.01,84
13,2,0.01,84
13,2,0.01,84
13,2,0.01,84
14,2,0.01,84
14,2,0.01,84
14,2,0.01,84
15,2,0.01,84
15,2,0.01,84
15,2,0.01,84
16,2,0.01,73.485
16,2,0.01,71.97
16,2,0.01,71.535
17,2,0.01,69.25
17,2,0.01,69.825
17,2,0.01,69.175
18,2,0.01,68.685
18,2,0.01,68.73
18,2,0.01,68.565
19,2,0.01,69.745
19,2,0.01,68.185
19,2,0.01,67.845
20,2,0.01,84
20,2,0.01,84
20,2,0.01,84
21,2,0.01,68.265
21,2,0.01,68.52
21,2,0.01,67.485
22,2,0.01,70.23
22,2,0.01,69.95
22,2,0.01,70.41
23,2,0.01,60.525
23,2,0.01,61.345
23,2,0.01,60.59
24,2,0.01,84
24,2,0.01,84
24,2,0.01,84
25,2,0.01,68.14
25,2,0.01,67.385
25,2,0.01,68.34
26,2,0.01,69.37
26,2,0.01,67.86
26,2,0.01,67.175
27,2,0.01,84
27,2,0.01,84
27,2,0.01,84
28,2,0.01,84
28,2,0.01,84
28,2,0.01,84
29,2,0.01,51.535
29,2,0.01,55.985
29,2,0.01,54.06
30,2,0.01,84
30,2,0.01,84
30,2,0.01,84
31,2,0.01,84
31,2,0.01,84
31,2,0.01,84
32,2,0.01,84
32,2,0.01,84
32,2,0.01,84
33,2,0.01,58.525
33,2,0.01,57.84
33,2,0.01,58.255
34,2,0.01,58.915
34,2,0.01,59.66
34,2,0.01,57.52
35,2,0.01,84
35,2,0.01,84
35,2,0.01,84
1,2,0.05,67.97
1,2,0.05,69.785
1,2,0.05,66.24
2,2,0.05,54.355
2,2,0.05,51.695
2,2,0.05,52.105
3,2,0.05,34.88
3,2,0.05,35.53
3,2,0.05,34.53
4,2,0.05,55.49
4,2,0.05,54.22
4,2,0.05,52.955
5,2,0.05,45.965
5,2,0.05,45.455
5,2,0.05,45.81
6,2,0.05,60.71
6,2,0.05,59.15
6,2,0.05,59.93
7,2,0.05,66.23
7,2,0.05,67.15
7,2,0.05,66.005
8,2,0.05,65.945
8,2,0.05,65.3
8,2,0.05,66.055
9,2,0.05,57.94
9,2,0.05,55.265
9,2,0.05,55.665
10,2,0.05,49.095
10,2,0.05,48.945
10,2,0.05,49.4
11,2,0.05,59.925
11,2,0.05,62.14
11,2,0.05,61.03
12,2,0.05,41.645
12,2,0.05,42.29
12,2,0.05,43.09
13,2,0.05,52.055
13,2,0.05,54.01
13,2,0.05,52.4
14,2,0.05,84
14,2,0.05,84
14,2,0.05,84
15,2,0.05,46.615
15,2,0.05,47.555
15,2,0.05,46.355
16,2,0.05,28.32
16,2,0.05,29.065
16,2,0.05,29.68
17,2,0.05,25.805
17,2,0.05,25.755
17,2,0.05,26.265
18,2,0.05,39.555
18,2,0.05,37.41
18,2,0.05,38.4825
19,2,0.05,51.20
19,2,0.05,50.26
19,2,0.05,48.79
20,2,0.05,35.395
20,2,0.05,35.71
20,2,0.05,36.14
21,2,0.05,30.68
21,2,0.05,27.65
21,2,0.05,29.165
22,2,0.05,21.115
22,2,0.05,21.625
22,2,0.05,21.19
23,2,0.05,32.615
23,2,0.05,33.545
23,2,0.05,32.81
24,2,0.05,26.7
24,2,0.05,26.305
24,2,0.05,26.5025
25,2,0.05,36.29
25,2,0.05,35.2
25,2,0.05,35.73
26,2,0.05,45.26
26,2,0.05,46.36
26,2,0.05,46.46
27,2,0.05,55.73
27,2,0.05,57.3
27,2,0.05,56.845
28,2,0.05,65.375
28,2,0.05,66.31
28,2,0.05,65.37
29,2,0.05,50.425
29,2,0.05,52.33
29,2,0.05,53.47
30,2,0.05,73.44
30,2,0.05,73.495
30,2,0.05,72.835
31,2,0.05,68.41
31,2,0.05,61.36
31,2,0.05,62.27
32,2,0.05,65.985
32,2,0.05,64.16
32,2,0.05,65.705
33,2,0.05,52.68
33,2,0.05,53.37
33,2,0.05,52.745
34,2,0.05,57.52
34,2,0.05,58.30
34,2,0.05,56.04
35,2,0.05,66.83
35,2,0.05,68.34
35,2,0.05,66.685
1,2,0.1,30.765
1,2,0.1,30.72
1,2,0.1,30.21
2,2,0.1,25.055
2,2,0.1,23.18
2,2,0.1,25.495
3,2,0.1,13
3,2,0.1,13.275
3,2,0.1,12.905
4,2,0.1,23.795
4,2,0.1,21.645
4,2,0.1,21.32
5,2,0.1,10.615
5,2,0.1,10.03
5,2,0.1,10.49
6,2,0.1,28.4
6,2,0.1,28.485
6,2,0.1,27.41
7,2,0.1,26.87
7,2,0.1,26.765
7,2,0.1,24.685
8,2,0.1,21.225
8,2,0.1,21.42
8,2,0.1,21.58
9,2,0.1,15.165
9,2,0.1,15.57
9,2,0.1,16.515
10,2,0.1,25.715
10,2,0.1,25.355
10,2,0.1,26.185
11,2,0.1,35.77
11,2,0.1,36.065
11,2,0.1,36.465
12,2,0.1,15.73
12,2,0.1,16.115
12,2,0.1,16.06
13,2,0.1,15.945
13,2,0.1,14.71
13,2,0.1,15.325
14,2,0.1,84
14,2,0.1,84
14,2,0.1,84
15,2,0.1,14.34
15,2,0.1,13.585
15,2,0.1,13.98
16,2,0.1,22.41
16,2,0.1,12.03
16,2,0.1,11.74
17,2,0.1,12.60
17,2,0.1,14.38
17,2,0.1,14.07
18,2,0.1,8.00
18,2,0.1,10.60
18,2,0.1,9.34
19,2,0.1,11.26
19,2,0.1,11.13
19,2,0.1,11.14
20,2,0.1,13.80
20,2,0.1,13.35
20,2,0.1,12.76
21,2,0.1,11.03
21,2,0.1,11.51
