ID,experimental_replicate,concentration,ecuatorial,polar
23,1,50,84,84
23,1,50,84,84
26,1,50,84,84
26,1,50,84,84
26,1,50,84,84
27,1,50,84,84
27,1,50,84,84
27,1,50,84,84
29,1,50,84,84
29,1,50,84,84
29,1,50,84,84
30,1,50,84,84
30,1,50,84,84
30,1,50,84,84
32,1,50,84,84
32,1,50,84,84
32,1,50,84,84
36,1,50,84,84
36,1,50,84,84
36,1,50,84,84
37,1,50,84,84
37,1,50,84,84
37,1,50,84,84
39,1,50,84,84
39,1,50,84,84
39,1,50,84,84
40,1,50,84,84
40,1,50,84,84
40,1,50,84,84
45,1,50,84,84
45,1,50,84,84
45,1,50,84,84
46,1,50,84,84
46,1,50,84,84
46,1,50,84,84
47,1,50,84,84
47,1,50,84,84
47,1,50,84,84
49,1,50,84,84
49,1,50,84,84
49,1,50,84,84
2,1,100,84,84
2,1,100,84,84
2,1,100,84,84
6,1,100,84,84
6,1,100,84,84
6,1,100,84,84
16,1,100,84,84
16,1,100,84,84
16,1,100,84,84
17,1,100,84,84
17,1,100,84,84
17,1,100,84,84
19,1,100,84,84
19,1,100,84,84
19,1,100,84,84
21,1,100,84,84
21,1,100,84,84
21,1,100,84,84
22,1,100,84,84
22,1,100,84,84
22,1,100,84,84
23,1,100,84,84
23,1,100,84,84
23,1,100,84,84
26,1,100,84,84
26,1,100,84,84
26,1,100,84,84
27,1,100,84,84
27,1,100,84,84
27,1,100,84,84
29,1,100,84,84
29,1,100,84,84
29,1,100,84,84
30,1,100,84,84
30,1,100,84,84
30,1,100,84,84
32,1,100,84,84
32,1,100,84,84
32,1,100,84,84
36,1,100,84,84
36,1,100,84,84
36,1,100,84,84
37,1,100,84,84
37,1,100,84,84
37,1,100,84,84
39,1,100,84,84
39,1,100,84,84
39,1,100,84,84
40,1,100,84,84
40,1,100,84,84
40,1,100,84,84
45,1,100,84,84
45,1,100,84,84
45,1,100,84,84
46,1,100,84,84
46,1,100,84,84
46,1,100,84,84
47,1,100,84,84
47,1,100,84,84
47,1,100,84,84
49,1,100,84,84
49,1,100,84,84
49,1,100,84,84
2,1,500,84,84
2,1,500,84,84
2,1,500,84,84
6,1,500,84,84
6,1,500,84,84
6,1,500,84,84
16,1,500,84,84
16,1,500,84,84
16,1,500,84,84
17,1,500,84,84
17,1,500,84,84
17,1,500,84,84
19,1,500,84,84
19,1,500,84,84
19,1,500,84,84
21,1,500,84,84
